Cabin (group),Cabin,Channel Type,Sub Channel Type,Ticket Type,Point of Sale,Rev (GBP) CY,Rev (GBP) PY,Passengers CY,Passengers PY,Average Fare (GBP) CY,Average Fare (GBP) PY
W,W,Direct,WNS,Published,NorAm,100.0,102.0,1.0,1.0,100.0,102.0
W,W,missing,missing,Corporate,NorAm,452.0,343.0,1.0,2.0,452.0,172.0
W,W,missing,missing,Net Fare,GB,886.0,2551.5,1.0,6.0,886.0,324.0
W,W,missing,missing,Published,GB,1120.0,892.0,5.0,2.0,224.0,446.0
W,W,missing,missing,Published,NorAm,24138.0,9190.0,47.0,28.0,514.0,328.0
W,W,missing,missing,Published,Other,1950.0,2223.0,4.0,5.0,488.0,445.0
W,W,missing,missing,Specialist,NorAm,235.0,449.0,1.0,1.0,235.0,449.0
W,W,Other,OAL,Published,GB,1947.0,2231.0,6.0,5.0,272.0,446.0
W,W,Other,OAL,Published,Other,2353.0,3119.0,4.0,5.0,588.0,624.0
W,W,Other,Unknown,Published,GB,1509.0,2551.5,2.0,6.0,755.0,324.0
W,W,Other,Unknown,Published,Other,1947.0,1602.0,6.0,2.0,272.0,801.0
W,W,TMC,Consortia,Corporate,GB,1900.0,2551.5,2.0,6.0,950.0,324.0
W,W,TMC,Consortia,IT Net,GB,1947.0,2914.0,6.0,9.0,272.0,324.0
W,W,TMC,Consortia,Published,GB,689.0,3917.0,1.0,5.0,689.0,783.0
W,W,TMC,Consortia,SME,GB,3310.0,3745.0,5.0,5.0,662.0,749.0
W,W,TMC,Consortia,SO Net,GB,1535.0,3019.0,7.0,8.0,219.0,377.0
W,W,TMC,Consortia,SO Net,Other,1947.0,959.0,6.0,3.0,272.0,320.0
W,W,TMC,Global,Corporate,GB,44176.0,37857.0,59.0,55.0,749.0,688.0
W,W,TMC,Global,Corporate,NorAm,18910.0,9321.0,23.0,12.0,822.0,777.0
W,W,TMC,Global,Corporate,Other,1947.0,1950.0,6.0,1.0,272.0,1950.0
W,W,TMC,Global,Flying Co Too,GB,2891.0,2551.5,3.0,6.0,964.0,324.0
W,W,TMC,Global,Group,GB,1947.0,4046.0,6.0,4.0,272.0,1012.0
