Cabin (group),Cabin,Channel Type,Sub Channel Type,Ticket Type,Point of Sale,Rev (GBP) CY,Rev (GBP) PY,Passengers CY,Passengers PY,Average Fare (GBP) CY,Average Fare (GBP) PY
W,W,TMC,Local,SO Net,GB,,357,,1,,357
W,W,TMC,Local,SO Net,Other,412,,2,,206,
W,W,TMC,Local,Specialist,GB,"6,162","7,348",22,17,280,432
W,W,TMC,MICE / Groups,IT Net,GB,,"2,359",,2,,"1,180"
W,W,TMC,OTA,Corporate,NorAm,,"1,450",,1,,"1,450"
W,W,TMC,OTA,Published,NorAm,"2,514","2,268",4,5,629,454
W,W,Unmanaged,Consumer,Published,GB,,498,,1,,498
W,W,Unmanaged,Consumer,Published,NorAm,"5,878","2,739",7,4,840,685
W,W,Unmanaged,Consumer,Published,Other,"1,940","5,967",7,9,277,663
W,W,Unmanaged,Consumer,SO Net,NorAm,,191,,1,,191
W,W,Unmanaged,Consumer,SO Net,Other,127,180,1,1,127,180
W,W,Vhols,NULL,IT Net,GB,"7,077","3,617",26,14,272,258
W,W,Vhols,NULL,Published,GB,436,,2,,218,
Y,D,Consumer,Consolidator,IT Net,GB,416,,1,,416,
Y,D,Consumer,OTA,Net Fare,NorAm,998,,4,,250,
Y,D,Consumer,OTA,Published,GB,"1,080",,6,,180,
Y,D,Consumer,OTA,Published,NorAm,"1,588",,7,,227,
Y,D,Consumer,Retail,IT Net,GB,601,,4,,150,
Y,D,Consumer,Retail,SO Net,GB,708,,5,,142,
Y,D,Consumer,Tour Op / Cruise,Published,NorAm,332,,1,,332,
Y,D,Direct,CTO,Published,GB,"1,387",,6,,231,
Y,D,Direct,CTO,Published,NorAm,745,,3,,248,
Y,D,Direct,OAL,Published,NorAm,"8,639",,19,,455,
Y,D,Direct,Res,Published,GB,"6,251",,18,,347,
Y,D,Direct,Res,Published,NorAm,"6,945",,16,,434,
Y,D,Direct,STAFF,SO Net,NorAm,219,,1,,219,
Y,D,Direct,Web,Published,GB,"27,794",,115,,242,
Y,D,Direct,Web,Published,NorAm,"30,335",,95,,319,
Y,D,Direct,WNS,Published,GB,489,,2,,245,
Y,D,NULL,NULL,Specialist,NorAm,237,,1,,237,
Y,D,TMC,Consortia,SME,GB,577,,2,,289,
Y,D,TMC,Global,Corporate,GB,"5,731",,14,,409,
Y,D,TMC,Global,Corporate,NorAm,"3,371",,8,,421,
Y,D,TMC,Global,Published,GB,"3,420",,4,,855,
Y,D,TMC,Global,Published,NorAm,474,,1,,474,
Y,D,TMC,Global,SME,GB,"8,906",,31,,287,
Y,D,TMC,Local,Published,GB,"2,393",,6,,399,
Y,D,TMC,Local,Published,NorAm,"1,308",,5,,262,
Y,D,TMC,Local,SME,GB,"3,902",,12,,325,
Y,D,TMC,Local,Specialist,GB,"5,767",,35,,165,
Y,D,TMC,OTA,Published,NorAm,309,,1,,309,
Y,D,Unmanaged,Consumer,Published,Other,"1,319",,2,,660,
Y,D,Vhols,NULL,IT Net,GB,500,,4,,125,
Y,D,Vhols,NULL,SO Net,GB,322,,2,,161,
Y,L,Consumer,Consolidator,Published,GB,"1,015",,12,,85,
Y,L,Consumer,Consolidator,Published,NorAm,"4,074",,27,,151,
Y,L,Consumer,Consolidator,Published,Other,526,,3,,175,
Y,L,Consumer,Consortia,Published,NorAm,70,,1,,70,
Y,L,Consumer,OTA,Net Fare,NorAm,"3,014",,23,,131,
Y,L,Consumer,OTA,Published,GB,"7,458",,63,,118,
Y,L,Consumer,OTA,Published,NorAm,"32,921",,247,,133,
Y,L,Consumer,OTA,Published,Other,"4,209",,39,,108,
Y,L,Consumer,Retail,Published,GB,"2,294",,20,,115,
Y,L,Consumer,Retail,Published,NorAm,577,,4,,144,
Y,L,Consumer,Student,Published,GB,139,,2,,70,
Y,L,Consumer,Student,Published,NorAm,"1,778",,16,,111,
Y,L,Consumer,Tour Op / Cruise,Published,GB,280,,4,,70,
Y,L,Consumer,Tour Op / Cruise,Published,Other,271,,2,,136,
Y,L,Consumer,VFR,Published,GB,"6,776",,64,,106,
Y,L,Direct,ATO,Published,GB,146,,1,,146,
Y,L,Direct,ATO,Published,NorAm,96,,1,,96,
Y,L,Direct,CTO,Published,GB,591,,3,,197,
Y,L,Direct,CTO,Published,NorAm,"1,456",,9,,162,
Y,L,Direct,OAL,Published,NorAm,"27,144",,211,,129,
Y,L,Direct,Res,Published,GB,706,,12,,59,
Y,L,Direct,Res,Published,NorAm,"3,573",,26,,137,
Y,L,Direct,Web,Published,GB,"19,212",,171,,112,
Y,L,Direct,Web,Published,NorAm,"25,683",,192,,134,
Y,L,NULL,NULL,Published,GB,"1,554",,13,,120,
Y,L,NULL,NULL,Published,NorAm,"17,919",,126,,142,
Y,L,Other,GSA,Published,Other,348,,2,,174,
Y,L,TMC,Consortia,Published,GB,501,,5,,100,
Y,L,TMC,Global,Corporate,NorAm,"1,188",,8,,149,
Y,L,TMC,Global,Published,GB,"3,374",,24,,141,
Y,L,TMC,Global,Published,NorAm,"1,429",,9,,159,
Y,L,TMC,Local,Published,GB,"1,499",,13,,115,
Y,L,TMC,Local,Published,NorAm,"1,300",,8,,162,
Y,L,TMC,Local,Published,Other,"1,386",,7,,198,
Y,L,TMC,OTA,Published,NorAm,640,,5,,128,
Y,L,Unmanaged,Consumer,Corporate,NorAm,437,,2,,219,
Y,L,Unmanaged,Consumer,Published,Other,634,,6,,106,
Y,Y,Consumer,Consolidator,Corporate,Other,115,,1,,115,
Y,Y,Consumer,Consolidator,Group,GB,"4,758","41,582",26,173,183,240
Y,Y,Consumer,Consolidator,IT Net,GB,"10,380","16,643",55,106,189,157
Y,Y,Consumer,Consolidator,IT Net,Other,,412,,2,,206
Y,Y,Consumer,Consolidator,Published,GB,713,"2,359",1,13,713,181
Y,Y,Consumer,Consolidator,Published,NorAm,"40,950","42,341",234,300,175,141
Y,Y,Consumer,Consolidator,Published,Other,"2,461","2,258",18,11,137,205
Y,Y,Consumer,Consolidator,SO Net,GB,"4,221","3,184",26,26,162,122
Y,Y,Consumer,Consolidator,SO Net,NorAm,"7,540","15,443",44,104,171,148
Y,Y,Consumer,Consolidator,SO Net,Other,,76,,1,,76
Y,Y,Consumer,Consortia,Published,NorAm,"2,941",785,13,3,226,262
Y,Y,Consumer,Local,Published,Other,,197,,1,,197
Y,Y,Consumer,MICE / Groups,Published,Other,,723,,3,,241
Y,Y,Consumer,OTA,Corporate,Other,303,138,2,1,151,138
Y,Y,Consumer,OTA,IT Net,GB,"1,626","4,811",8,26,203,185
Y,Y,Consumer,OTA,IT Net,NorAm,,"1,188",,6,,198
Y,Y,Consumer,OTA,IT Net,Other,"1,492",797,10,6,149,133
Y,Y,Consumer,OTA,Net Fare,NorAm,"4,998","40,804",26,231,192,177
Y,Y,Consumer,OTA,Net Fare,Other,,332,,2,,166
Y,Y,Consumer,OTA,Published,GB,"6,533","6,195",36,23,181,269
Y,Y,Consumer,OTA,Published,NorAm,"92,477","143,123",561,925,165,155
Y,Y,Consumer,OTA,Published,Other,"21,785","11,775",142,75,153,157
Y,Y,Consumer,OTA,SO Net,GB,"2,192","10,595",4,58,548,183
Y,Y,Consumer,OTA,SO Net,NorAm,"14,991","41,397",85,284,176,146
Y,Y,Consumer,OTA,SO Net,Other,"2,459","3,307",24,26,102,127
Y,Y,Consumer,OTA,Specialist,NorAm,138,,1,,138,
Y,Y,Consumer,Retail,Group,GB,"2,382",,12,,199,
Y,Y,Consumer,Retail,IT Net,GB,"10,724","11,521",40,65,268,177
Y,Y,Consumer,Retail,IT Net,Other,241,58,4,1,60,58
Y,Y,Consumer,Retail,Net Fare,GB,280,681,1,4,280,170
Y,Y,Consumer,Retail,Net Fare,Other,,420,,2,,210
Y,Y,Consumer,Retail,Published,GB,545,"3,566",3,20,182,178
Y,Y,Consumer,Retail,Published,NorAm,"3,858","17,558",23,114,168,154
Y,Y,Consumer,Retail,Published,Other,"2,193","1,017",9,9,244,113
Y,Y,Consumer,Retail,SME,GB,"4,097","3,140",12,7,341,449
Y,Y,Consumer,Retail,SME,Other,614,,7,,88,
Y,Y,Consumer,Retail,SO Net,GB,"8,525","8,604",52,49,164,176
Y,Y,Consumer,Retail,SO Net,NorAm,741,"1,091",6,7,123,156
Y,Y,Consumer,Retail,SO Net,Other,"2,732","2,825",27,20,101,141
Y,Y,Consumer,Retail,Specialist,GB,"2,020","2,289",14,13,144,176
Y,Y,Consumer,Student,Group,GB,,"1,518",,12,,127
Y,Y,Consumer,Student,Published,GB,,"3,636",,27,,135
Y,Y,Consumer,Student,Published,NorAm,"5,020","2,453",30,21,167,117
Y,Y,Consumer,Student,Published,Other,516,,5,,103,
Y,Y,Consumer,Student,SO Net,GB,927,"1,178",6,7,155,168
Y,Y,Consumer,Student,SO Net,NorAm,"1,089",402,6,4,181,101
Y,Y,Consumer,Student,Specialist,GB,"1,150","2,750",9,19,128,145
Y,Y,Consumer,Tour Op / Cruise,IT Net,GB,330,743,2,5,165,149
Y,Y,Consumer,Tour Op / Cruise,IT Net,Other,,790,,6,,132
Y,Y,Consumer,Tour Op / Cruise,Published,NorAm,"6,724","5,572",40,49,168,114
Y,Y,Consumer,Tour Op / Cruise,Published,Other,332,408,2,4,166,102
Y,Y,Consumer,Tour Op / Cruise,SME,GB,,502,,1,,502
Y,Y,Consumer,Tour Op / Cruise,SO Net,GB,372,,2,,186,
Y,Y,Consumer,Tour Op / Cruise,SO Net,NorAm,,"2,469",,16,,154
Y,Y,Consumer,Tour Op / Cruise,SO Net,Other,60,,1,,60,
Y,Y,Consumer,Travel Industry,Specialist,GB,680,,4,,170,
Y,Y,Consumer,Unmanaged,Published,Other,387,,2,,193,
Y,Y,Consumer,VFR,IT Net,GB,"10,675","3,147",66,16,162,197
Y,Y,Consumer,VFR,Published,GB,140,"19,225",1,115,140,167
Y,Y,Consumer,VFR,SME,GB,120,,1,,120,
Y,Y,Consumer,VFR,SO Net,GB,"2,927","5,824",23,39,127,149
Y,Y,Consumer,VFR,Specialist,GB,264,,3,,88,
Y,Y,Consumer,VFR,VFR,GB,,168,,1,,168
Y,Y,Direct,ATO,Corporate,GB,,715,,2,,358
Y,Y,Direct,ATO,IT Net,GB,,103,,1,,103
Y,Y,Direct,ATO,Published,GB,204,"5,162",2,24,102,215
Y,Y,Direct,ATO,Published,NorAm,"2,202","4,722",9,24,245,197
Y,Y,Direct,ATO,SO Net,GB,320,523,2,4,160,131
Y,Y,Direct,ATO,SO Net,NorAm,332,784,3,5,111,157
Y,Y,Direct,CTO,Corporate,NorAm,244,,1,,244,
Y,Y,Direct,CTO,Published,GB,"2,041","3,843",14,24,146,160
Y,Y,Direct,CTO,Published,NorAm,"2,433","11,658",13,70,187,167
